Series,Level,Model,n_exc,n_exp,CoverageRate,LR_uc,p_uc,LR_ind,p_ind,LR_cc,p_cc,ES_Z2,ES_p
OIL,0.975,ARCH(1),10,6.9750,0.0358,1.1888,0.2756,0.7464,0.3876,1.9352,0.3800,0.9699,0.0240
Combined (Fisher),0.975,ARCH(1),—,—,—,—,0.0003,—,0.9233,—,0.0060,—,0.0120
BTC-USD,0.975,ARCH-LSTM,6,10.7750,0.0139,2.5784,0.1083,0.1698,0.6803,2.7482,0.2531,-0.4486,0.1360
ETH-USD,0.975,ARCH-LSTM,8,7.9000,0.0253,0.0013,0.9713,0.4170,0.5184,0.4183,0.8113,-0.0208,0.9640
DJIA,0.975,ARCH-LSTM,9,6.9750,0.0323,0.5532,0.4570,0.6023,0.4377,1.1555,0.5611,0.0588,0.8280
SP500,0.975,ARCH-LSTM,7,6.9750,0.0251,0.0001,0.9924,0.3617,0.5476,0.3618,0.8345,-0.0788,0.8920
GOLD,0.975,ARCH-LSTM,24,6.9750,0.0860,26.3531,0.0000,0.0030,0.9562,26.3561,0.0000,3.4660,0.0000
OIL,0.975,ARCH-LSTM,15,6.9750,0.0538,7.1606,0.0075,1.7120,0.1907,8.8726,0.0118,1.9029,0.0000
Combined (Fisher),0.975,ARCH-LSTM,—,—,—,—,0.1034,—,0.7576,—,0.1939,—,0.7922
BTC-USD,0.975,CNN-LSTM,11,10.7750,0.0255,0.0048,0.9448,0.5776,0.4472,0.5824,0.7474,0.0059,0.8920
ETH-USD,0.975,CNN-LSTM,9,7.9000,0.0285,0.1504,0.6981,1.3624,0.2431,1.5128,0.4694,0.1260,0.6800
DJIA,0.975,CNN-LSTM,11,6.9750,0.0394,2.0322,0.1540,0.9066,0.3410,2.9388,0.2301,0.4374,0.2900
SP500,0.975,CNN-LSTM,4,6.9750,0.0143,1.5341,0.2155,0.1168,0.7325,1.6509,0.4380,-0.3679,0.3640
GOLD,0.975,CNN-LSTM,24,6.9750,0.0860,26.3531,0.0000,0.7950,0.3726,27.1481,0.0000,3.2771,0.0000
OIL,0.975,CNN-LSTM,15,6.9750,0.0538,7.1606,0.0075,1.4487,0.2287,8.6093,0.0135,1.5243,0.0020
Combined (Fisher),0.975,CNN-LSTM,—,—,—,—,0.0654,—,0.4347,—,0.1217,—,0.0562
BTC-USD,0.975,Constant (unconditional variance),1,10.7750,0.0023,15.0212,0.0001,0.0047,0.9456,15.0259,0.0005,-0.8591,0.0000
